Подразделение,Магазин ID,Наименование магазина,Бюджет товарооборот,Среднемесячный товарооборот,План золото 2026,Доход золото. Коэффициент 6%,План серебро 2026,Доход серебро. Коэффициент 9%,План Аксессуары 2026,Доход Аксессуары. Коэффициент 6%,План кожа 2026,План кожзам и товары с коэффициентом обуви 
Кавказ,11979.0,"Моздок, Хмельницкого Б. ул., домовладение 6",31046347.0150186,2587195.5845848834,0.0,0.0,400000.0,36000.0,354634.24058224884,21278.05443493493,181762.83984459858,1650798.5041580359
Черноморское,11980.0,"Ростов-на-Дону, ТРЦ МегаМаг",156578375.52250004,13048197.960208336,1692789.8693991632,101567.39216394979,539546.9290867781,48559.22361781003,1585589.1003349575,95135.34602009745,3072312.2376805823,6157959.823706854
Ростов,13034.0,"Волгодонск, ТЦ Весенний",82175453.55999997,6847954.463333331,0.0,0.0,400000.0,36000.0,1091688.002023996,65501.28012143976,1775390.4759112694,3580875.9853980658
Черноморское,13040.0,"Краснодар, ТК Центр Города",74291843.3575,6190986.946458333,803179.1069162929,48190.74641497758,410415.5450377439,36937.399053396955,1218250.2331464845,73095.01398878907,1291992.7705889347,2467149.2907688776
Краснодар,13048.0,"Ейск, ТЦ Сердце Ейска",59122634.93000004,4926886.244166669,0.0,0.0,400000.0,36000.0,1025185.7313556621,61511.143881339725,944153.0643422911,2557547.4484687163
Черноморское,13057.0,"Краснодар, ТРЦ Любимово Молл",111444706.65749995,9287058.888124997,1204843.7071750588,72290.62243050353,463543.7395646086,41718.93656081477,1379757.0061941354,82785.42037164813,1186569.9297637937,5052344.5054274
Сочи,13071.0,"Апшеронск,ТЦ",47296752.152499974,3941396.012708331,511331.5464671559,30679.892788029352,400000.0,36000.0,584212.2815166067,35052.7368909964,632195.1537345633,1813657.030990005
Сочи,13091.0,"Горячий ключ, Ленина ул., д. 193Г",41105358.517500006,3425446.5431250003,0.0,0.0,400000.0,36000.0,598502.232546055,35910.133952763295,530008.9010560917,1896935.4095228533
Сочи,13097.0,"Туапсе, ТРЦ Красная Площадь",24515877.950000003,2042989.8291666668,0.0,0.0,400000.0,36000.0,374380.1016786582,22462.806100719492,320506.46368786495,948103.2638001436
Кавказ,13111.0,"Прохладный,ТЦ",31066923.78249998,2588910.3152083317,0.0,0.0,400000.0,36000.0,575709.9224636347,34542.59534781808,412977.23676278105,1200223.155981916
Ростов,13125.0,"ТЦ, Элиста",50106782.946206525,4175565.2455172106,0.0,0.0,400000.0,36000.0,635971.0996775884,38158.265980655306,533244.3347432584,2606349.8110963637
Кавказ,13130.0,"ТЦ, Невинномысск",50079925.454700604,4173327.12122505,0.0,0.0,400000.0,36000.0,587570.6802886368,35254.240817318205,982136.6836884914,2203619.757247922
Крым,13131.0,"Симферополь, Южная Галлерея",83296236.58499998,6941353.048749998,1411791.4099316315,84707.48459589788,400000.0,36000.0,743239.9255071677,44594.39553043006,1480646.4587997294,2905675.25451147
Крым,13133.0,Крым Симферополь,34936438.9975,2911369.9164583334,0.0,0.0,400000.0,36000.0,522177.16882902366,31330.630129741417,405955.0600042072,1583237.6876251027
Крым,13134.0,"Керчь, Торговый квартал",66207211.577499986,5517267.631458332,1012102.892656016,60726.17355936096,400000.0,36000.0,650474.4817750194,39028.46890650116,1344056.608276946,2110633.6487503503
Крым,13135.0,"Симферополь, Меганом",165613954.74750006,13801162.895625005,3426622.457086393,205597.34742518357,564619.9829081569,50815.79846173412,1733583.505198742,104015.01031192452,3189799.8893436985,4886537.0610880125
Крым,13136.0,"Ялта, ТЦ Конфетти",70840159.09824677,5903346.591520564,838207.251372098,50292.43508232588,400000.0,36000.0,759106.2325677943,45546.373954067654,1234070.291431609,2671962.8161490625
Крым,13137.0,"Симферополь, ТЦ FM",25407961.072499987,2117330.089374999,0.0,0.0,400000.0,36000.0,352232.2969705841,21133.937818235045,264195.48345553706,1100902.308948878
Крым,13138.0,"Бахчисарай, Торговый комплекс",35167267.7425,2930605.645208333,0.0,0.0,400000.0,36000.0,479867.31509440154,28792.038905664092,445686.8800241943,1605051.4500897373
Крым,13139.0,"Евпатория, ТЦ Капитал",145594359.96999997,12132863.33083333,3672342.802845451,220340.56817072706,640786.8069205765,57670.81262285188,1379504.362242691,82770.26173456146,2754265.0268492163,3685964.3319753944
Крым,13140.0,"Джанкой, Интернациональная ул., д. 74",57422591.34750002,4785215.945625002,1599112.6951787889,95946.76171072733,400000.0,36000.0,461542.4994600561,27692.549967603365,556984.4835541052,1767576.2674320512
Крым,13141.0,"Алушта, Универмаг",49587000.31209563,4132250.026007969,0.0,0.0,400000.0,36000.0,971543.4459408184,58292.6067564491,427579.17582445266,2333127.4042426976
Крым,13142.0,"Саки, Революции ул., дом 9",25350097.172541104,2112508.0977117587,0.0,0.0,400000.0,36000.0,359291.1933600636,21557.471601603815,200128.27887215925,1153088.6254795357
Крым,13143.0,"Севастополь, Новус Посейдон",42426656.44805045,3535554.704004204,0.0,0.0,400000.0,36000.0,629127.3482517216,37747.64089510329,467077.5676550181,2039349.788097464
Крым,13144.0,"Севастополь, ТЦ Sea Moll",197200261.58630183,16433355.13219182,2131958.541160031,127917.51246960188,543388.563558147,48904.970720233236,2167931.6969044735,130075.9018142684,3400402.496345056,8189673.834224114
Крым,13145.0,"Севастополь, ТЦ Муссон",124838488.77910061,10403207.398258384,1470577.3774597507,88234.64264758505,517878.92093828844,46609.10288444596,1621434.8036761773,97286.08822057063,2702628.9494483625,4090687.346735805
Крым,13146.0,"Феодосия, Победы ул, 2",80136059.7539045,6678004.979492042,866361.7161201317,51981.7029672079,400000.0,36000.0,783005.9403754936,46980.356422529614,2092347.1690483426,2536290.153948074
